date,entries_daily
2020-02-01,2963226
2020-02-02,2305255
2020-02-03,5478353
2020-02-04,5723747
2020-02-05,5809392
2020-02-06,5779422
2020-02-07,5614360
2020-02-08,3034970
2020-02-09,2347574
2020-02-10,5449099
2020-02-11,5695003
2020-02-12,5729361
2020-02-13,5777866
2020-02-14,5600832
2020-02-15,2870896
2020-02-16,2405225
2020-02-17,3228257
2020-02-18,5236060
2020-02-19,5482337
2020-02-20,5438416
2020-02-21,5262738
2020-02-22,3008560
2020-02-23,2363508
2020-02-24,5463696
2020-02-25,5683872
2020-02-26,5722570
2020-02-27,5790234
2020-02-28,5583219
2020-02-29,2962323
2020-03-01,2284950
2020-03-02,5385325
2020-03-03,5618186
2020-03-04,5633026
2020-03-05,5614665
2020-03-06,5334527
2020-03-07,2858601
2020-03-08,2086791
2020-03-09,4971324
2020-03-10,4980763
2020-03-11,4797071
2020-03-12,4320292
2020-03-13,3565118
2020-03-14,1764789
2020-03-15,1230286
2020-03-16,2246953
2020-03-17,1867442
2020-03-18,1688463
2020-03-19,1478803
2020-03-20,1355950
2020-03-21,672386
2020-03-22,445378
2020-03-23,739508
2020-03-24,772860
2020-03-25,728029
2020-03-26,714819
2020-03-27,687596
2020-03-28,367189
2020-03-29,281678
2020-03-30,560461
2020-03-31,541886
2020-04-01,537941
2020-04-02,512924
2020-04-03,509936
2020-04-04,313694
2020-04-05,243871
2020-04-06,459851
2020-04-07,458529
2020-04-08,451390
2020-04-09,428755
2020-04-10,424564
2020-04-11,278208
2020-04-12,216029
2020-04-13,387416
2020-04-14,452178
2020-04-15,443942
2020-04-16,446063
2020-04-17,459555
2020-04-18,279945
2020-04-19,242512
2020-04-20,455718
2020-04-21,450373
2020-04-22,485524
2020-04-23,478298
2020-04-24,468358
2020-04-25,320058
2020-04-26,239611
2020-04-27,479174
2020-04-28,513833
2020-04-29,506686
2020-04-30,493841
2020-05-01,519987
2020-05-02,361853
2020-05-03,281434
2020-05-04,537481
2020-05-05,548244
2020-05-06,538150
2020-05-07,558624
2020-05-08,555806
2020-05-09,340949
2020-05-10,289137
2020-05-11,541304
2020-05-12,577533
2020-05-13,592084
2020-05-14,595758
2020-05-15,613527
2020-05-16,389273
2020-05-17,310300
2020-05-18,614213
2020-05-19,639189
2020-05-20,650659
2020-05-21,657484
2020-05-22,662044
2020-05-23,362328
2020-05-24,334213
2020-05-25,409558
2020-05-26,675586
2020-05-27,702439
2020-05-28,700771
2020-05-29,677595
2020-05-30,451658
2020-05-31,364085
2020-06-01,709465
2020-06-02,736871
2020-06-03,703748
2020-06-04,753118
2020-06-05,728906
2020-06-06,477755
2020-06-07,386805
2020-06-08,817420
2020-06-09,863847
2020-06-10,880272
2020-06-11,845505
2020-06-12,912549
2020-06-13,563818
2020-06-14,453792
2020-06-15,912640
2020-06-16,952088
2020-06-17,974339
2020-06-18,961312
2020-06-19,993755
2020-06-20,602539
2020-06-21,463831
2020-06-22,1011561
2020-06-23,1064946
2020-06-24,1085933
2020-06-25,1098954
2020-06-26,1110927
2020-06-27,645865
2020-06-28,550875
2020-06-29,1106473
2020-06-30,1136123
2020-07-01,1136878
2020-07-02,1173150
2020-07-03,878343
2020-07-04,590368
2020-07-05,552177
2020-07-06,1098584
2020-07-07,1162813
2020-07-08,1181893
2020-07-09,1215329
2020-07-10,1066031
2020-07-11,688543
2020-07-12,621026
2020-07-13,1181900
2020-07-14,1241989
2020-07-15,1252843
2020-07-16,1252962
2020-07-17,1208902
2020-07-18,776309
2020-07-19,599370
2020-07-20,1154238
2020-07-21,1238046
2020-07-22,1247494
2020-07-23,1221688
2020-07-24,1201824
2020-07-25,827022
2020-07-26,619009
2020-07-27,1193117
2020-07-28,1239538
2020-07-29,1285133
2020-07-30,1266960
2020-07-31,1237081
2020-08-01,844416
2020-08-02,607485
2020-08-03,1256297
2020-08-04,1040507
2020-08-05,1311152
2020-08-06,1322480
2020-08-07,1282308
2020-08-08,833976
2020-08-09,668349
2020-08-10,1261661
2020-08-11,1308801
2020-08-12,1295705
2020-08-13,1282942
2020-08-14,1328182
2020-08-15,857720
2020-08-16,572670
2020-08-17,1273343
2020-08-18,1344017
2020-08-19,1275341
2020-08-20,1384120
2020-08-21,1355321
2020-08-22,880899
2020-08-23,673623
2020-08-24,1282932
2020-08-25,1329961
2020-08-26,1384501
2020-08-27,1359473
2020-08-28,1353275
2020-08-29,773351
2020-08-30,733160
2020-08-31,1377828
2020-09-01,1444529
2020-09-02,1468333
2020-09-03,1512472
2020-09-04,1518536
2020-09-05,1006171
2020-09-06,814260
2020-09-07,861743
2020-09-08,1517471
2020-09-09,1586880
2020-09-10,1526988
2020-09-11,1622231
2020-09-12,1067071
2020-09-13,797756
2020-09-14,1559328
2020-09-15,1637013
2020-09-16,1645533
2020-09-17,1658262
2020-09-18,1651871
2020-09-19,1128236
2020-09-20,824420
2020-09-21,1569706
2020-09-22,1652310
2020-09-23,1689779
2020-09-24,1684261
2020-09-25,1698909
2020-09-26,1097464
2020-09-27,840029
2020-09-28,1443040
2020-09-29,1632316
2020-09-30,1686424
2020-10-01,1763485
2020-10-02,1702798
2020-10-03,1158070
2020-10-04,848446
2020-10-05,1624239
2020-10-06,1710091
2020-10-07,1724243
2020-10-08,1745397
2020-10-09,1734381
2020-10-10,1138288
2020-10-11,841086
2020-10-12,1245678
2020-10-13,1649500
2020-10-14,1766873
2020-10-15,1788882
2020-10-16,1619852
2020-10-17,1166422
2020-10-18,879765
2020-10-19,1654643
2020-10-20,1725676
2020-10-21,1753767
2020-10-22,1762687
2020-10-23,1756781
2020-10-24,1148161
2020-10-25,865465
2020-10-26,1619803
2020-10-27,1745441
2020-10-28,1753607
2020-10-29,1654899
2020-10-30,1681936
2020-10-31,1124595
2020-11-01,811103
2020-11-02,1667134
2020-11-03,1551007
2020-11-04,1627136
2020-11-05,1721535
2020-11-06,1742351
2020-11-07,1167296
2020-11-08,889445
2020-11-09,1672489
2020-11-10,1758184
2020-11-11,1550861
2020-11-12,1687570
2020-11-13,1704199
2020-11-14,1154813
2020-11-15,783984
2020-11-16,1650095
2020-11-17,1709175
2020-11-18,1707661
2020-11-19,1669015
2020-11-20,1696891
2020-11-21,1087114
2020-11-22,776532
2020-11-23,1554274
2020-11-24,1648341
2020-11-25,1601110
2020-11-26,645244
2020-11-27,1167755
2020-11-28,978568
2020-11-29,780214
2020-11-30,1386976
2020-12-01,1620335
2020-12-02,1618829
2020-12-03,1645180
2020-12-04,1604429
2020-12-05,939982
2020-12-06,816104
2020-12-07,1559248
2020-12-08,1620051
2020-12-09,1612543
2020-12-10,1674098
2020-12-11,1664372
2020-12-12,1024696
2020-12-13,847330
2020-12-14,1496114
2020-12-15,1678435
2020-12-16,1504583
2020-12-17,1000908
2020-12-18,1592244
2020-12-19,1043503
2020-12-20,763360
2020-12-21,1595887
2020-12-22,1646363
2020-12-23,1656916
2020-12-24,1258919
2020-12-25,479047
2020-12-26,806500
2020-12-27,708047
2020-12-28,1411080
2020-12-29,1462440
2020-12-30,1479989
2020-12-31,1211763
2021-01-01,592133
2021-01-02,901117
2021-01-03,615910
2021-01-04,1451952
2021-01-05,1505561
2021-01-06,1514012
2021-01-07,1503440
2021-01-08,1502100
2021-01-09,918293
2021-01-10,700700
2021-01-11,1453607
2021-01-12,1525090
2021-01-13,1528034
2021-01-14,1531051
2021-01-15,1498055
2021-01-16,924338
2021-01-17,725286
2021-01-18,1164288
2021-01-19,1519143
2021-01-20,1459253
2021-01-21,1530788
2021-01-22,1534203
2021-01-23,929595
2021-01-24,671337
2021-01-25,1465783
2021-01-26,1449288
2021-01-27,1534015
2021-01-28,1526648
2021-01-29,1391058
2021-01-30,848772
2021-01-31,656125
2021-02-01,570001
2021-02-02,883334
2021-02-03,1543603
2021-02-04,1626874
2021-02-05,1583000
2021-02-06,1025886
2021-02-07,595827
2021-02-08,1493037
2021-02-09,1529179
2021-02-10,1595719
2021-02-11,1557916
2021-02-12,1520915
2021-02-13,981045
2021-02-14,751444
2021-02-15,1098970
2021-02-16,1483719
2021-02-17,1579752
2021-02-18,1268023
2021-02-19,1388551
2021-02-20,989971
2021-02-21,744824
2021-02-22,1440432
2021-02-23,1579734
2021-02-24,1644329
2021-02-25,1640418
2021-02-26,1632260
2021-02-27,952351
2021-02-28,727583
2021-03-01,1537605
2021-03-02,1594693
2021-03-03,1672075
2021-03-04,1642897
2021-03-05,1626665
2021-03-06,1029655
2021-03-07,787686
2021-03-08,1554347
2021-03-09,1661872
2021-03-10,1687572
2021-03-11,1694544
2021-03-12,1699137
2021-03-13,1102319
2021-03-14,782308
2021-03-15,1547182
2021-03-16,1623694
2021-03-17,1666502
2021-03-18,1605323
2021-03-19,1672089
2021-03-20,1134580
2021-03-21,894782
2021-03-22,1609170
2021-03-23,1686342
2021-03-24,1663492
2021-03-25,1698855
2021-03-26,1696375
2021-03-27,1194513
2021-03-28,742985
2021-03-29,1532957
2021-03-30,1678550
2021-03-31,1628992
2021-04-01,1630153
2021-04-02,1534471
2021-04-03,1134157
2021-04-04,841226
2021-04-05,1611952
2021-04-06,1729753
2021-04-07,1766343
2021-04-08,1791169
2021-04-09,1779816
2021-04-10,1191730
2021-04-11,816752
2021-04-12,1624361
2021-04-13,1768233
2021-04-14,1797420
2021-04-15,1702571
2021-04-16,1790422
2021-04-17,1209080
2021-04-18,943444
2021-04-19,1688835
2021-04-20,1819884
2021-04-21,1760227
2021-04-22,1792707
2021-04-23,1823217
2021-04-24,1279006
2021-04-25,863973
2021-04-26,1710418
2021-04-27,1799931
2021-04-28,1862839
2021-04-29,1801281
2021-04-30,1842448
2021-05-01,1263681
2021-05-02,987304
2021-05-03,1742922
2021-05-04,1843573
2021-05-05,1816871
2021-05-06,1911152
2021-05-07,1919230
2021-05-08,1226390
2021-05-09,956485
2021-05-10,1729889
2021-05-11,1875756
2021-05-12,1900628
2021-05-13,1871337
2021-05-14,1931454
